
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
125,David Bote\boteda01,28,CHC,327,.274,61,.235,.131,2.5%,22.3%,8.3%,89.7,43.9%,19.4%,48.2%,25.2%,0.94,28.4%,55.4%,16.2%,-2.5,-0.5%,-15.7
126,Matthew Boyd\boydma01,30,DET,5,.396,169,.500,.000,0.0%,20.0%,20.0%,77.7,0.0%,66.7%,0.0%,0.0%,0.00,33.3%,33.3%,33.3%,0.0,0.0%,-0.2
127,Archie Bradley\bradlar01,28,PHI,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
128,Bobby Bradley\bradlbo01,25,CLE,279,.316,96,.263,.237,5.7%,35.5%,9.0%,89.0,40.9%,22.8%,40.9%,30.2%,0.69,31.5%,54.4%,14.1%,-0.9,-0.1%,0.8
129,Jackie Bradley Jr.\bradlja02,31,MIL,428,.236,30,.226,.098,1.4%,30.8%,6.5%,89.7,40.5%,22.9%,49.2%,20.9%,0.98,32.6%,53.1%,14.3%,-3.0,-1.5%,-37.4
130,Michael Brantley\brantmi02,34,HOU,508,.353,122,.337,.126,1.6%,10.4%,6.5%,89.4,42.9%,28.8%,46.5%,20.6%,0.87,28.1%,54.4%,17.5%,-0.7,-0.6%,8.8
131,Rob Brantly\brantro01,31,NYY,21,.178,-1,.188,.050,0.0%,19.1%,0.0%,82.6,12.5%,6.3%,43.8%,31.3%,0.78,43.8%,43.8%,12.5%,-0.3,-0.2%,-4.4
132,Steven Brault\braulst01,29,PIT,8,.207,-12,.250,.167,0.0%,25.0%,0.0%,75.4,50.0%,0.0%,66.7%,0.0%,,0.0%,66.7%,33.3%,-0.1,0.0%,-1.2
133,John Brebbia\brebbjo01,31,SFG,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.1
134,Alex Bregman\bregmal01,27,HOU,400,.340,113,.286,.152,3.0%,13.3%,11.0%,89.0,38.3%,23.1%,41.5%,27.1%,0.71,37.1%,52.8%,10.0%,-0.7,-0.2%,5.2
135,Jake Brentz\brentja01,26,KCR,1,.693,359,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.3
136,Lewis Brinson\brinsle01,27,MIA,290,.283,68,.273,.150,3.1%,24.8%,4.5%,88.1,37.7%,23.0%,42.6%,20.1%,0.75,25.0%,57.4%,17.6%,-1.5,-0.2%,-10.5
137,Mike Brosseau\brossmi01,27,TBR,169,.289,83,.245,.160,3.0%,31.4%,8.9%,90.1,40.4%,22.2%,37.4%,28.3%,0.60,28.3%,54.5%,17.2%,0.0,0.0%,-3.4
138,Rex Brothers\brothre01,33,CHC,2,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.7
139,Seth Brown\brownse01,28,OAK,307,.317,102,.230,.267,6.5%,29.0%,7.5%,88.9,40.2%,22.7%,31.4%,32.5%,0.46,32.5%,54.6%,12.9%,0.0,-0.2%,-0.7
140,JT Brubaker\brubajt01,27,PIT,43,.130,-42,.130,.000,0.0%,34.9%,9.3%,75.5,13.0%,4.2%,75.0%,4.2%,6.00,4.2%,70.8%,25.0%,-1.0,-0.1%,-9.2
141,Jay Bruce\bruceja01,34,NYY,39,.217,26,.150,.118,2.6%,33.3%,12.8%,82.2,19.0%,19.0%,47.6%,23.8%,1.00,28.6%,71.4%,0.0%,-0.7,-0.4%,-4.7
142,Justin Bruihl\bruihju01,24,LAD,1,.696,359,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.3
143,Vidal Brujan\brujavi01,23,TBR,26,.112,-46,.111,.000,0.0%,30.8%,0.0%,80.5,17.6%,22.2%,55.6%,11.1%,1.25,22.2%,55.6%,22.2%,-0.4,-0.4%,-3.3
144,Kris Bryant\bryankr01,29,TOT,586,.368,126,.313,.216,4.3%,23.0%,10.6%,88.2,40.0%,26.3%,37.9%,29.5%,0.61,31.1%,52.1%,16.8%,2.5,1.1%,24.5
145,Kris Bryant\bryankr01,29,CHC,374,.374,131,.314,.236,4.8%,23.8%,10.4%,87.6,38.7%,24.8%,39.5%,29.8%,0.65,29.4%,55.9%,14.7%,1.4,0.5%,18.9
146,Kris Bryant\bryankr01,29,SFG,212,.359,117,.311,.182,3.3%,21.7%,10.9%,89.2,42.3%,28.9%,35.2%,28.9%,0.54,33.8%,45.8%,20.4%,1.1,0.6%,5.7
147,Kris Bubic\bubickr01,23,KCR,5,.000,-130,.000,.000,0.0%,20.0%,0.0%,75.7,25.0%,0.0%,75.0%,0.0%,,0.0%,75.0%,25.0%,-0.1,0.0%,-1.2
148,Walker Buehler\buehlwa01,26,LAD,82,.140,-50,.292,.029,0.0%,54.9%,6.1%,69.1,25.8%,6.3%,53.1%,9.4%,2.83,6.3%,56.3%,37.5%,-1.1,-0.9%,-10.8
149,Madison Bumgarner\bumgama01,31,ARI,52,.219,21,.364,.026,0.0%,55.8%,17.3%,79.8,23.1%,30.8%,15.4%,30.8%,0.22,53.8%,30.8%,15.4%,-0.6,-0.1%,-6.6
150,Dylan Bundy\bundydy01,28,LAA,4,.223,30,1.000,.000,0.0%,75.0%,0.0%,91.4,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,-0.1,0.0%,-0.6
151,Jake Burger\burgeja01,25,CHW,42,.404,159,.409,.211,2.4%,35.7%,9.5%,98.0,60.9%,21.7%,47.8%,30.4%,0.92,30.4%,60.9%,8.7%,0.0,0.0%,1.4
152,Corbin Burnes\burneco01,26,MIL,59,.163,-28,.308,.000,0.0%,44.1%,5.1%,73.8,16.7%,23.3%,60.0%,0.0%,2.25,20.0%,56.7%,23.3%,-0.7,-0.4%,-8.9
153,Andy Burns\burnsan01,30,LAD,15,.384,138,.300,.091,0.0%,6.7%,20.0%,86.1,20.0%,40.0%,40.0%,10.0%,0.67,20.0%,70.0%,10.0%,0.1,0.1%,0.7
154,Drew Butera\buterdr01,37,LAA,36,.091,-77,.176,.031,0.0%,44.4%,0.0%,73.6,10.0%,25.0%,15.0%,35.0%,0.23,20.0%,65.0%,15.0%,-0.4,-0.2%,-4.8
155,Byron Buxton\buxtoby01,27,MIN,254,.423,171,.344,.340,7.5%,24.4%,5.1%,92.1,53.8%,23.1%,39.3%,31.8%,0.65,36.4%,52.0%,11.6%,1.9,0.5%,20.2
156,Asdrubal Cabrera\cabreas01,35,TOT,352,.304,83,.283,.136,2.0%,22.7%,10.2%,87.4,30.9%,21.5%,41.6%,28.3%,0.72,33.9%,51.1%,15.0%,-0.8,0.0%,-7.5
157,Asdrubal Cabrera\cabreas01,35,ARI,321,.317,93,.301,.148,2.2%,22.7%,10.3%,87.7,31.9%,23.0%,40.4%,28.2%,0.69,33.8%,51.2%,15.0%,-0.4,0.3%,-3.6
158,Asdrubal Cabrera\cabreas01,35,CIN,31,.178,-18,.100,.000,0.0%,22.6%,9.7%,83.9,20.0%,5.0%,55.0%,30.0%,1.22,35.0%,50.0%,15.0%,-0.4,-0.3%,-3.9
159,Edward Cabrera\cabreed02,23,MIA,7,.178,-7,.250,.143,0.0%,42.9%,0.0%,90.6,25.0%,25.0%,0.0%,75.0%,0.00,25.0%,75.0%,0.0%,-0.1,0.0%,-0.6
160,Miguel Cabrera\cabremi01,38,DET,526,.309,94,.305,.129,2.9%,22.4%,7.6%,91.4,49.7%,21.5%,49.0%,25.9%,0.96,25.3%,52.1%,22.6%,0.2,-0.3%,-4.1
161,Trevor Cahill\cahiltr01,33,PIT,9,.089,-68,.200,.000,0.0%,44.4%,0.0%,66.0,0.0%,0.0%,20.0%,40.0%,0.33,0.0%,80.0%,20.0%,-0.3,-0.1%,-2.9
162,Lorenzo Cain\cainlo01,35,MIL,286,.342,102,.287,.144,2.8%,16.8%,9.1%,88.4,37.8%,21.0%,50.0%,24.3%,1.00,22.9%,55.7%,21.4%,0.2,0.1%,1.8
163,Kole Calhoun\calhoko01,33,ARI,182,.300,81,.281,.139,2.8%,22.5%,8.2%,88.5,38.9%,23.8%,38.1%,28.6%,0.62,38.1%,45.2%,16.7%,-0.2,0.1%,-3.1
164,Willie Calhoun\calhowi01,26,TEX,284,.296,87,.267,.131,2.1%,12.0%,7.4%,90.1,41.9%,26.9%,40.1%,23.3%,0.67,28.6%,55.9%,15.4%,-1.5,-0.2%,-10.1
165,Daniel Camarena\camarda01,28,SDP,3,.670,350,,1.000,33.3%,66.7%,0.0%,107.2,100.0%,0.0%,0.0%,100.0%,0.00,100.0%,0.0%,0.0%,0.1,0.1%,3.0
166,Johan Camargo\camarjo01,27,ATL,18,.077,-85,.000,.000,0.0%,33.3%,11.1%,82.0,30.0%,10.0%,60.0%,20.0%,1.50,40.0%,40.0%,20.0%,-0.2,-0.1%,-4.0
167,Daz Cameron\camerda01,24,DET,115,.293,74,.262,.165,3.5%,33.0%,8.7%,88.7,43.1%,27.7%,38.5%,27.7%,0.63,21.5%,55.4%,23.1%,-0.1,0.0%,-2.5
168,Eric Campbell\campber01,34,SEA,12,.281,75,.300,.000,0.0%,8.3%,8.3%,83.9,20.0%,30.0%,40.0%,30.0%,0.67,30.0%,40.0%,30.0%,-0.1,-0.1%,-1.3
169,Paul Campbell\campbpa02,25,MIA,5,.000,-133,.000,.000,0.0%,40.0%,0.0%,78.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.7
170,Luis Campusano\campulu01,22,SDP,38,.168,-6,.130,.000,0.0%,29.0%,10.5%,94.6,52.2%,26.1%,39.1%,21.7%,0.64,13.0%,56.5%,30.4%,-0.8,-0.5%,-7.9
171,Jeimer Candelario\candeje01,27,DET,626,.348,122,.333,.172,2.6%,21.6%,10.4%,88.6,39.1%,28.9%,40.5%,25.6%,0.68,31.6%,52.7%,15.7%,0.5,-0.2%,22.6
172,Mark Canha\canhama01,32,OAK,625,.348,123,.274,.156,2.7%,20.5%,12.3%,87.3,35.4%,26.0%,42.2%,24.4%,0.73,31.3%,52.9%,15.8%,1.1,0.9%,18.7
173,Griffin Canning\cannigr01,25,LAA,1,,,,,0.0%,0.0%,0.0%,,,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2
174,Victor Caratini\caratvi01,27,SDP,356,.283,75,.281,.096,2.0%,23.0%,9.8%,90.0,44.4%,22.6%,50.6%,21.7%,1.03,25.5%,57.0%,17.4%,-0.4,-0.3%,-9.8
175,Dylan Carlson\carlsdy01,22,STL,619,.343,116,.332,.172,2.9%,24.6%,9.2%,87.8,31.3%,24.3%,39.3%,31.1%,0.66,32.9%,50.5%,16.6%,-0.1,-0.4%,12.0
176,Matt Carpenter\carpema01,35,STL,249,.279,69,.250,.106,1.2%,30.9%,14.1%,89.0,42.0%,22.1%,28.2%,43.5%,0.41,33.6%,52.7%,13.7%,-0.3,0.1%,-8.7
177,Carlos Carrasco\carraca01,34,NYM,19,.060,-135,.000,.000,0.0%,52.6%,0.0%,58.7,0.0%,0.0%,44.4%,0.0%,,11.1%,77.8%,11.1%,-0.3,-0.1%,-2.7
178,Curt Casali\casalcu01,32,SFG,231,.299,79,.287,.140,2.2%,28.6%,11.3%,85.5,31.1%,20.7%,31.1%,34.8%,0.46,37.8%,51.9%,10.4%,-0.7,-0.7%,-2.4
179,Daniel Castano\castada01,26,MIA,5,.000,-191,.000,.000,0.0%,40.0%,0.0%,50.4,0.0%,0.0%,33.3%,0.0%,,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.4
180,Ryan Castellani\castery01,25,COL,1,.000,-143,.000,.000,0.0%,0.0%,0.0%,89.4,0.0%,0.0%,100.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.3
181,Humberto Castellanos\castehu01,23,ARI,7,.544,254,.400,.500,14.3%,14.3%,0.0%,81.9,50.0%,33.3%,50.0%,16.7%,1.00,16.7%,50.0%,33.3%,0.2,0.0%,1.2
182,Nick Castellanos\casteni01,29,CIN,585,.398,138,.340,.267,5.8%,20.7%,7.0%,89.8,46.9%,29.3%,38.0%,29.1%,0.61,28.1%,54.1%,17.8%,3.0,1.4%,36.7
183,Erick Castillo\castier01,28,CHC,9,.256,47,.286,.000,0.0%,11.1%,11.1%,76.3,14.3%,0.0%,85.7%,14.3%,6.00,28.6%,57.1%,14.3%,0.0,0.0%,-0.7
184,Ivan Castillo\castiiv01,26,SDP,4,.399,158,.333,.000,0.0%,0.0%,25.0%,90.9,33.3%,0.0%,100.0%,0.0%,,33.3%,33.3%,33.3%,0.1,0.1%,0.7
185,Luis Castillo\castilu02,28,CIN,59,.166,-49,.308,.041,0.0%,39.0%,1.7%,65.4,20.6%,11.4%,42.9%,11.4%,1.67,17.1%,68.6%,14.3%,-1.0,-0.7%,-10.9
186,Harold Castro\castrha01,27,DET,339,.301,89,.351,.076,0.9%,21.2%,4.1%,87.4,38.5%,33.3%,40.5%,22.6%,0.71,19.8%,59.1%,21.0%,1.3,0.1%,-3.9
187,Jason Castro\castrja01,34,HOU,179,.357,125,.310,.208,4.5%,30.2%,14.0%,89.3,42.7%,28.9%,37.1%,28.9%,0.61,35.1%,48.5%,16.5%,1.3,0.7%,4.8
188,Rodolfo Castro\castrro01,22,PIT,93,.282,69,.222,.198,5.4%,29.0%,6.5%,89.0,37.9%,15.3%,52.5%,27.1%,1.11,22.0%,66.1%,11.9%,-0.9,0.0%,-6.9
189,Starlin Castro\castrst01,31,WSN,346,.318,100,.339,.092,0.9%,17.9%,7.5%,88.4,40.2%,24.1%,49.8%,21.0%,0.99,26.5%,55.3%,18.3%,0.3,0.3%,-5.1
190,Willi Castro\castrwi01,24,DET,450,.273,69,.275,.131,2.0%,24.2%,5.1%,84.6,29.4%,22.9%,45.8%,22.9%,0.88,22.9%,55.2%,21.9%,-2.6,-0.4%,-23.4
191,Jake Cave\caveja01,28,MIN,178,.247,52,.283,.104,1.7%,34.8%,5.6%,86.0,33.0%,28.2%,51.5%,15.5%,1.10,24.3%,56.3%,19.4%,-0.4,0.1%,-6.8
192,Dylan Cease\ceasedy01,25,CHW,8,.365,131,.600,.125,0.0%,37.5%,0.0%,91.7,40.0%,40.0%,40.0%,20.0%,0.67,20.0%,20.0%,60.0%,-0.1,-0.1%,0.3
193,Gilberto Celestino\celesgi01,22,MIN,62,.200,18,.140,.153,3.2%,22.6%,4.8%,87.2,31.1%,24.4%,46.7%,20.0%,0.88,24.4%,55.6%,20.0%,-0.7,-0.1%,-7.5
194,Jhoulys Chacin\chacijh01,33,COL,7,.000,-184,.000,.000,0.0%,28.6%,0.0%,71.7,20.0%,20.0%,60.0%,0.0%,3.00,20.0%,60.0%,20.0%,-0.1,0.0%,-1.7
195,Yu Chang\changyu01,25,CLE,251,.301,85,.281,.198,3.6%,27.5%,4.4%,87.1,33.9%,24.3%,35.5%,27.2%,0.55,25.4%,53.3%,21.3%,0.3,-0.6%,-0.6
196,Matt Chapman\chapmma01,28,OAK,622,.310,98,.272,.193,4.3%,32.5%,12.9%,89.7,41.8%,18.8%,33.6%,38.1%,0.51,25.3%,60.1%,14.6%,0.2,0.4%,-12.4
197,Tyler Chatwood\chatwty01,31,TOT,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
198,Tyler Chatwood\chatwty01,31,SFG,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
199,Jesse Chavez\chaveje01,37,ATL,3,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-1.2
200,Michael Chavis\chavimi01,25,TOT,124,.269,61,.351,.149,2.4%,33.9%,0.8%,89.7,41.3%,26.3%,48.8%,20.0%,0.95,32.5%,50.0%,17.5%,0.1,-0.2%,-6.9
201,Michael Chavis\chavimi01,25,BOS,82,.226,28,.283,.152,2.4%,39.0%,1.2%,88.8,35.4%,25.0%,45.8%,25.0%,0.85,25.0%,58.3%,16.7%,-0.2,-0.2%,-8.1
202,Michael Chavis\chavimi01,25,PIT,42,.353,128,.452,.143,2.4%,23.8%,0.0%,91.0,50.0%,28.1%,53.1%,12.5%,1.13,43.8%,37.5%,18.8%,0.3,0.0%,1.2
203,Robinson Chirinos\chiriro01,37,CHC,112,.336,104,.304,.227,4.5%,32.1%,8.0%,88.8,45.2%,16.1%,33.9%,37.1%,0.53,40.3%,43.5%,16.1%,-0.2,-0.1%,-0.7
204,Jazz Chisholm Jr.\chishja01,23,MIA,507,.323,94,.319,.177,3.6%,28.6%,6.7%,89.3,42.0%,21.6%,48.1%,24.4%,0.96,29.3%,51.9%,18.8%,-0.3,0.1%,2.2
205,Ji-Man Choi\choiji01,30,TBR,305,.336,118,.300,.182,3.6%,28.5%,14.8%,91.0,46.8%,27.5%,39.8%,24.0%,0.67,33.9%,46.8%,19.3%,0.6,0.4%,7.9
206,Adam Cimber\cimbead01,30,TOT,2,.000,-133,.000,.000,0.0%,50.0%,0.0%,86.3,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.2
207,Adam Cimber\cimbead01,30,MIA,2,.000,-133,.000,.000,0.0%,50.0%,0.0%,86.3,0.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.2
208,Nick Ciuffo\ciuffni01,26,BAL,6,.321,99,.250,.200,0.0%,16.7%,16.7%,85.0,50.0%,0.0%,50.0%,50.0%,1.00,25.0%,25.0%,50.0%,0.1,0.0%,0.3
209,Aaron Civale\civalaa01,26,CLE,2,.346,117,,.000,0.0%,50.0%,50.0%,,,,,,,,,,0.0,0.0%,0.0
210,Taylor Clarke\clarkta01,28,ARI,3,.267,58,1.000,.000,0.0%,66.7%,0.0%,79.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.5
211,Sam Clay\claysa01,28,WSN,2,.000,-127,.000,.000,0.0%,50.0%,0.0%,26.7,0.0%,0.0%,0.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.3
212,Garrett Cleavinger\cleavga01,27,LAD,3,.622,410,1.000,.500,0.0%,33.3%,0.0%,61.8,0.0%,50.0%,0.0%,0.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,1.4
213,Ernie Clement\clemeer01,25,CLE,133,.278,71,.253,.107,2.3%,14.3%,5.3%,84.1,24.8%,26.7%,35.2%,28.6%,0.59,19.0%,57.1%,23.8%,-1.1,-0.6%,-7.4
214,Alex Cobb\cobbal01,33,LAA,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,80.1,0.0%,0.0%,0.0%,100.0%,0.00,100.0%,0.0%,0.0%,0.0,0.0%,-0.3
215,Zack Collins\colliza01,26,CHW,231,.298,85,.303,.128,1.7%,29.9%,14.7%,90.3,44.4%,26.8%,31.5%,31.5%,0.47,26.8%,55.9%,17.3%,0.2,0.2%,0.8
216,Michael Conforto\confomi01,28,NYM,479,.328,104,.276,.153,2.9%,21.7%,12.3%,88.5,39.6%,21.4%,45.1%,29.3%,0.82,31.6%,53.9%,14.5%,1.3,0.4%,-0.5
217,William Contreras\contrwi02,23,ATL,185,.305,76,.265,.184,4.3%,29.2%,10.3%,91.9,45.0%,20.0%,48.2%,29.1%,0.95,27.3%,60.9%,11.8%,-0.2,-0.1%,-2.2
218,Willson Contreras\contrwi01,29,CHC,483,.348,113,.298,.201,4.4%,28.6%,10.8%,91.8,48.6%,18.6%,51.6%,25.1%,1.07,27.7%,53.2%,19.1%,0.9,0.2%,2.5
219,Sam Coonrod\coonrsa01,28,PHI,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2
220,Garrett Cooper\coopega03,30,MIA,250,.375,133,.374,.181,3.6%,27.2%,12.0%,91.1,52.7%,25.0%,52.0%,20.3%,1.08,26.4%,54.1%,19.6%,1.3,0.8%,10.7
221,Patrick Corbin\corbipa01,31,WSN,63,.146,-39,.241,.000,0.0%,38.1%,4.8%,73.0,19.4%,11.1%,55.6%,8.3%,2.86,2.8%,69.4%,27.8%,-0.8,-0.3%,-10.1
222,Franchy Cordero\cordefr02,26,BOS,136,.239,36,.307,.071,0.7%,37.5%,5.9%,87.1,40.3%,27.3%,45.5%,19.5%,0.88,28.6%,48.1%,23.4%,-0.6,-0.7%,-5.8
223,Carlos Correa\correca01,26,HOU,640,.369,133,.308,.205,4.1%,18.1%,11.7%,90.2,42.7%,26.1%,42.5%,23.4%,0.74,24.7%,53.3%,22.0%,2.1,1.7%,28.4
224,Nestor Cortes\cortene01,26,NYY,1,.000,-127,.000,.000,0.0%,0.0%,0.0%,65.2,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,0.0,0.0%,-0.4
225,Danny Coulombe\couloda01,31,MIN,1,.000,-123,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
226,Will Craig\craigwi01,26,PIT,65,.262,54,.324,.083,1.5%,33.9%,7.7%,79.9,15.8%,28.9%,52.6%,15.8%,1.11,21.1%,65.8%,13.2%,-0.6,-0.2%,-4.1
227,Brandon Crawford\crawfbr01,34,SFG,549,.389,142,.334,.224,4.4%,19.1%,10.2%,88.6,43.3%,23.0%,40.2%,29.0%,0.68,26.2%,55.2%,18.6%,3.1,2.6%,32.8
228,J.P. Crawford\crawfjp01,26,SEA,687,.312,100,.320,.103,1.3%,16.6%,8.4%,85.6,30.7%,28.6%,45.7%,17.8%,0.86,22.0%,59.0%,19.0%,1.3,0.5%,-3.1
229,Nabil Crismatt\crismna01,26,SDP,11,.000,-147,.000,.000,0.0%,54.6%,0.0%,64.2,0.0%,0.0%,80.0%,0.0%,,0.0%,40.0%,60.0%,-0.1,-0.1%,-2.6
230,C.J. Cron\croncj01,31,COL,547,.393,135,.316,.249,5.1%,21.4%,11.0%,88.8,42.0%,21.3%,38.7%,32.5%,0.63,29.7%,53.5%,16.8%,1.7,0.1%,35.4
231,Jake Cronenworth\croneja01,27,SDP,643,.350,124,.283,.194,3.3%,14.0%,8.6%,88.1,35.3%,26.1%,42.2%,23.6%,0.74,26.9%,54.5%,18.6%,0.7,0.3%,16.2
232,Hans Crouse\crousha01,22,PHI,1,.000,-132,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4
233,Wil Crowe\crowewi01,26,PIT,41,.096,-80,.095,.029,0.0%,34.2%,2.4%,74.4,24.0%,16.0%,48.0%,8.0%,1.50,24.0%,44.0%,32.0%,-0.9,0.0%,-9.5
234,Nelson Cruz\cruzne02,40,TOT,584,.353,128,.286,.232,5.5%,21.6%,8.7%,92.9,52.5%,22.0%,43.4%,25.5%,0.77,28.8%,51.5%,19.7%,0.7,0.3%,19.9
235,Nelson Cruz\cruzne02,40,MIN,346,.379,144,.308,.243,5.5%,18.2%,10.1%,93.2,53.3%,21.3%,45.0%,26.7%,0.82,29.6%,52.9%,17.5%,0.9,0.4%,15.5
236,Nelson Cruz\cruzne02,40,TBR,238,.315,104,.252,.217,5.5%,26.5%,6.7%,92.3,51.3%,23.1%,41.0%,23.7%,0.70,27.6%,49.4%,23.1%,-0.2,-0.1%,4.4
237,Oneil Cruz\cruzon01,22,PIT,9,.423,169,.500,.333,11.1%,44.4%,0.0%,100.6,80.0%,20.0%,60.0%,20.0%,1.50,40.0%,60.0%,0.0%,-0.1,0.0%,0.6
238,Johnny Cueto\cuetojo01,35,SFG,37,.123,-74,.100,.000,0.0%,24.3%,8.1%,67.0,4.0%,8.0%,56.0%,8.0%,2.33,4.0%,60.0%,36.0%,-0.5,-0.3%,-6.8
239,Charlie Culberson\culbech01,32,TEX,271,.304,86,.307,.138,1.9%,23.6%,6.3%,84.0,29.8%,23.9%,46.8%,20.7%,0.93,29.8%,53.2%,17.0%,-1.4,-0.4%,-5.2
240,John Curtiss\curtijo02,28,TOT,5,.000,-133,.000,.000,0.0%,60.0%,0.0%,59.0,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.9
241,John Curtiss\curtijo02,28,MIA,5,.000,-133,.000,.000,0.0%,60.0%,0.0%,59.0,0.0%,0.0%,50.0%,0.0%,,0.0%,100.0%,0.0%,-0.2,-0.1%,-1.9
242,Travis d'Arnaud\darnatr01,32,ATL,229,.292,67,.260,.167,3.1%,23.1%,7.4%,89.9,43.9%,26.8%,46.5%,24.8%,0.87,24.8%,52.9%,22.3%,-1.1,-0.7%,-9.9
243,David Dahl\dahlda01,27,TEX,220,.253,53,.269,.112,1.8%,26.8%,4.6%,87.7,36.7%,24.7%,47.3%,19.3%,0.91,30.7%,56.7%,12.7%,-1.4,-0.4%,-15.6
244,Bobby Dalbec\dalbebo01,26,BOS,453,.332,100,.316,.254,5.5%,34.4%,6.2%,92.4,48.1%,22.9%,37.0%,34.0%,0.59,29.4%,48.1%,22.5%,-0.4,-0.6%,5.3
245,Yu Darvish\darviyu01,34,SDP,55,.109,-50,.179,.038,0.0%,45.5%,0.0%,83.4,37.9%,24.1%,69.0%,3.4%,2.50,20.7%,65.5%,13.8%,-1.1,-0.7%,-11.7
246,Tucker Davidson\davidtu01,25,ATL,6,.000,-140,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.2,-0.2%,-2.1
247,Zach Davies\davieza02,28,CHC,44,.153,-63,.231,.000,0.0%,18.2%,0.0%,65.6,2.8%,13.9%,36.1%,11.1%,1.18,19.4%,58.3%,22.2%,-0.6,-0.3%,-7.1
248,Austin Davis\davisau01,28,TOT,1,.693,355,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.1
249,Austin Davis\davisau01,28,BOS,1,.693,355,,,0.0%,0.0%,100.0%,,,,,,,,,,0.0,0.0%,0.1
250,J.D. Davis\davisjd01,28,NYM,211,.372,135,.426,.151,2.4%,32.2%,11.4%,89.7,42.5%,32.7%,38.9%,22.1%,0.64,21.2%,59.3%,19.5%,0.5,0.4%,6.3
251,Jaylin Davis\davisja03,26,SFG,9,.138,-34,.125,.111,0.0%,11.1%,0.0%,89.9,37.5%,0.0%,62.5%,25.0%,1.67,37.5%,25.0%,37.5%,-0.2,-0.1%,-1.7
252,Jonathan Davis\davisjo05,29,TOT,103,.223,25,.164,.046,1.0%,25.2%,11.7%,85.1,25.8%,17.7%,45.2%,35.5%,0.82,27.4%,54.8%,17.7%,-0.9,-0.6%,-9.9
253,Jonathan Davis\davisjo05,29,TOR,85,.252,44,.184,.057,1.2%,24.7%,12.9%,87.3,30.0%,22.0%,38.0%,38.0%,0.61,26.0%,54.0%,20.0%,-0.6,-0.4%,-6.2
254,Jonathan Davis\davisjo05,29,NYY,18,.088,-65,.083,.000,0.0%,27.8%,5.6%,75.9,8.3%,0.0%,75.0%,25.0%,3.00,33.3%,58.3%,8.3%,-0.3,-0.3%,-3.7
255,Khris Davis\daviskh01,33,TOT,114,.273,69,.257,.157,2.6%,27.2%,8.8%,89.9,45.2%,15.1%,47.9%,27.4%,0.92,38.4%,43.8%,17.8%,-0.4,-0.3%,-2.6
256,Khris Davis\daviskh01,33,TEX,61,.258,57,.171,.176,3.3%,26.2%,13.1%,90.2,43.2%,10.8%,54.1%,24.3%,1.18,40.5%,40.5%,18.9%,-0.7,-0.3%,-2.6
257,Khris Davis\daviskh01,33,OAK,53,.289,83,.343,.137,1.9%,28.3%,3.8%,89.6,47.2%,19.4%,41.7%,30.6%,0.71,36.1%,47.2%,16.7%,0.2,0.0%,0.0
